====================================================================================================
> training arguments:
>>> if_test: 0
>>> run_model: relgan
>>> dataset: image_coco
>>> model_type: vanilla
>>> loss_type: rsgan
>>> if_real_data: 1
>>> cuda: 1
>>> device: 0
>>> shuffle: 0
>>> gen_init: truncated_normal
>>> dis_init: uniform
>>> samples_num: 10000
>>> vocab_size: 4683
>>> mle_epoch: 5
>>> adv_epoch: 2000
>>> inter_epoch: 10
>>> batch_size: 16
>>> max_seq_len: 37
>>> start_letter: 1
>>> padding_idx: 0
>>> gen_lr: 0.01
>>> gen_adv_lr: 0.0001
>>> dis_lr: 0.0001
>>> clip_norm: 5.0
>>> pre_log_step: 10
>>> adv_log_step: 20
>>> train_data: dataset/oracle.txt
>>> test_data: dataset/testdata/oracle_test.txt
>>> temp_adpt: exp
>>> temperature: 100
>>> eta: 2
>>> learn_temperature: True
>>> learn_eta: True
>>> ora_pretrain: 1
>>> gen_pretrain: 0
>>> dis_pretrain: 0
>>> adv_g_step: 1
>>> rollout_num: 4
>>> gen_embed_dim: 32
>>> gen_hidden_dim: 32
>>> goal_size: 16
>>> step_size: 4
>>> mem_slots: 1
>>> num_heads: 2
>>> head_size: 256
>>> d_step: 5
>>> d_epoch: 3
>>> adv_d_step: 5
>>> adv_d_epoch: 3
>>> dis_embed_dim: 64
>>> dis_hidden_dim: 64
>>> num_rep: 64
>>> log_file: log/log_1211_1139_44.txt
>>> save_root: save/20191211/image_coco/relgan_vanilla_lt-rsgan_sl37_temp100_T2/
>>> signal_file: run_signal.txt
>>> tips: vanilla RelGAN
====================================================================================================
Starting Generator MLE Training...
[MLE-GEN] epoch 0 : pre_loss = 1.4581, BLEU-[2, 3, 4, 5] = [0.712, 0.433, 0.242, 0.143], gen_NLL = 1.2476, self_bleu = [0.571],
[MLE-GEN] epoch 4 : pre_loss = 1.0636, BLEU-[2, 3, 4, 5] = [0.801, 0.534, 0.317, 0.187], gen_NLL = 1.1127, self_bleu = [0.644],
Starting Adversarial Training...
[ADV] epoch 0: g_loss: 0.6934, d_loss: 0.6927, BLEU-[2, 3, 4, 5] = [0.811, 0.554, 0.336, 0.206], gen_NLL = 1.1126, self_bleu = [0.651],
[ADV] epoch 20: g_loss: 0.8205, d_loss: 0.5839, BLEU-[2, 3, 4, 5] = [0.818, 0.588, 0.357, 0.215], gen_NLL = 1.1098, self_bleu = [0.667],
[ADV] epoch 40: g_loss: 2.9295, d_loss: 0.0967, BLEU-[2, 3, 4, 5] = [0.827, 0.59, 0.372, 0.225], gen_NLL = 1.1082, self_bleu = [0.67],
[ADV] epoch 60: g_loss: 4.9677, d_loss: 0.0385, BLEU-[2, 3, 4, 5] = [0.844, 0.645, 0.427, 0.269], gen_NLL = 1.1102, self_bleu = [0.719],
[ADV] epoch 80: g_loss: 6.8005, d_loss: 0.0269, BLEU-[2, 3, 4, 5] = [0.852, 0.652, 0.431, 0.269], gen_NLL = 1.1166, self_bleu = [0.741],
[ADV] epoch 100: g_loss: 7.3851, d_loss: 0.0230, BLEU-[2, 3, 4, 5] = [0.866, 0.676, 0.455, 0.294], gen_NLL = 1.1268, self_bleu = [0.757],
[ADV] epoch 120: g_loss: 8.3728, d_loss: 0.0263, BLEU-[2, 3, 4, 5] = [0.878, 0.7, 0.492, 0.322], gen_NLL = 1.1413, self_bleu = [0.743],
[ADV] epoch 140: g_loss: 7.5026, d_loss: 0.0240, BLEU-[2, 3, 4, 5] = [0.882, 0.717, 0.506, 0.334], gen_NLL = 1.1590, self_bleu = [0.782],
[ADV] epoch 160: g_loss: 6.7085, d_loss: 0.0196, BLEU-[2, 3, 4, 5] = [0.896, 0.735, 0.539, 0.353], gen_NLL = 1.1787, self_bleu = [0.801],
[ADV] epoch 180: g_loss: 8.7863, d_loss: 0.0194, BLEU-[2, 3, 4, 5] = [0.895, 0.73, 0.529, 0.359], gen_NLL = 1.2008, self_bleu = [0.801],
[ADV] epoch 200: g_loss: 8.2504, d_loss: 0.0323, BLEU-[2, 3, 4, 5] = [0.912, 0.772, 0.585, 0.407], gen_NLL = 1.2251, self_bleu = [0.813],
[ADV] epoch 220: g_loss: 9.3173, d_loss: 0.0072, BLEU-[2, 3, 4, 5] = [0.916, 0.774, 0.587, 0.406], gen_NLL = 1.2513, self_bleu = [0.82],
[ADV] epoch 240: g_loss: 8.2618, d_loss: 0.0162, BLEU-[2, 3, 4, 5] = [0.923, 0.815, 0.653, 0.467], gen_NLL = 1.2797, self_bleu = [0.832],
[ADV] epoch 260: g_loss: 9.8296, d_loss: 0.0184, BLEU-[2, 3, 4, 5] = [0.91, 0.78, 0.602, 0.429], gen_NLL = 1.3083, self_bleu = [0.824],
[ADV] epoch 280: g_loss: 7.9390, d_loss: 0.0529, BLEU-[2, 3, 4, 5] = [0.929, 0.812, 0.641, 0.464], gen_NLL = 1.3373, self_bleu = [0.828],
