====================================================================================================
> training arguments:
>>> if_test: 0
>>> run_model: relgan
>>> dataset: image_coco
>>> model_type: vanilla
>>> loss_type: rsgan
>>> if_real_data: 1
>>> cuda: 1
>>> device: 0
>>> shuffle: 0
>>> gen_init: truncated_normal
>>> dis_init: uniform
>>> samples_num: 10000
>>> vocab_size: 4683
>>> mle_epoch: 5
>>> adv_epoch: 2000
>>> inter_epoch: 10
>>> batch_size: 16
>>> max_seq_len: 37
>>> start_letter: 1
>>> padding_idx: 0
>>> gen_lr: 0.01
>>> gen_adv_lr: 0.0001
>>> dis_lr: 0.0001
>>> clip_norm: 5.0
>>> pre_log_step: 5
>>> adv_log_step: 20
>>> train_data: dataset/oracle.txt
>>> test_data: dataset/testdata/oracle_test.txt
>>> temp_adpt: exp
>>> temperature: 100
>>> eta: 2
>>> learn_temperature: True
>>> learn_eta: True
>>> ora_pretrain: 1
>>> gen_pretrain: 0
>>> dis_pretrain: 0
>>> adv_g_step: 1
>>> rollout_num: 4
>>> gen_embed_dim: 32
>>> gen_hidden_dim: 32
>>> goal_size: 16
>>> step_size: 4
>>> mem_slots: 1
>>> num_heads: 2
>>> head_size: 256
>>> d_step: 5
>>> d_epoch: 3
>>> adv_d_step: 5
>>> adv_d_epoch: 3
>>> dis_embed_dim: 64
>>> dis_hidden_dim: 64
>>> num_rep: 64
>>> log_file: log/log_1206_1427_44.txt
>>> save_root: save/20191206/image_coco/relgan_vanilla_lt-rsgan_sl37_temp100_T2/
>>> signal_file: run_signal.txt
>>> tips: vanilla RelGAN
====================================================================================================
Starting Generator MLE Training...
[MLE-GEN] epoch 0 : pre_loss = 1.4602, BLEU-[2, 3, 4, 5] = [0.733, 0.436, 0.237, 0.141], gen_NLL = 1.2672, self_bleu = [0.509],
[MLE-GEN] epoch 4 : pre_loss = 1.0855, BLEU-[2, 3, 4, 5] = [0.832, 0.6, 0.39, 0.247], gen_NLL = 1.1397, self_bleu = [0.706],
Starting Adversarial Training...
[ADV] epoch 0: g_loss: 0.6933, d_loss: 0.6929, BLEU-[2, 3, 4, 5] = [0.82, 0.599, 0.386, 0.237], gen_NLL = 1.1397, self_bleu = [0.698],
[ADV] epoch 20: g_loss: 0.7925, d_loss: 0.6010, BLEU-[2, 3, 4, 5] = [0.838, 0.611, 0.389, 0.237], gen_NLL = 1.1389, self_bleu = [0.7],
[ADV] epoch 40: g_loss: 2.8276, d_loss: 0.1137, BLEU-[2, 3, 4, 5] = [0.85, 0.637, 0.431, 0.279], gen_NLL = 1.1420, self_bleu = [0.752],
[ADV] epoch 60: g_loss: 5.1787, d_loss: 0.0518, BLEU-[2, 3, 4, 5] = [0.881, 0.695, 0.48, 0.306], gen_NLL = 1.1515, self_bleu = [0.751],
[ADV] epoch 80: g_loss: 6.4808, d_loss: 0.0360, BLEU-[2, 3, 4, 5] = [0.89, 0.725, 0.522, 0.347], gen_NLL = 1.1670, self_bleu = [0.796],
[ADV] epoch 100: g_loss: 6.2451, d_loss: 0.0256, BLEU-[2, 3, 4, 5] = [0.91, 0.755, 0.565, 0.389], gen_NLL = 1.1868, self_bleu = [0.815],
[ADV] epoch 120: g_loss: 7.0940, d_loss: 0.0241, BLEU-[2, 3, 4, 5] = [0.916, 0.784, 0.597, 0.412], gen_NLL = 1.2093, self_bleu = [0.846],
[ADV] epoch 140: g_loss: 7.1820, d_loss: 0.0224, BLEU-[2, 3, 4, 5] = [0.935, 0.815, 0.635, 0.451], gen_NLL = 1.2346, self_bleu = [0.865],
[ADV] epoch 160: g_loss: 7.9059, d_loss: 0.0249, BLEU-[2, 3, 4, 5] = [0.943, 0.83, 0.637, 0.457], gen_NLL = 1.2636, self_bleu = [0.876],
[ADV] epoch 180: g_loss: 8.3181, d_loss: 0.0214, BLEU-[2, 3, 4, 5] = [0.939, 0.835, 0.659, 0.468], gen_NLL = 1.2949, self_bleu = [0.898],
[ADV] epoch 200: g_loss: 9.1304, d_loss: 0.0174, BLEU-[2, 3, 4, 5] = [0.944, 0.845, 0.671, 0.495], gen_NLL = 1.3268, self_bleu = [0.898],
[ADV] epoch 220: g_loss: 8.0812, d_loss: 0.0209, BLEU-[2, 3, 4, 5] = [0.947, 0.855, 0.7, 0.519], gen_NLL = 1.3610, self_bleu = [0.895],
